"2020-04-28","covid","school","food","water","reopen"
"covid","508634","3741","4112","1066","12131"
"school","3741","8645","53","11","917"
"food","4112","53","7883","45","137"
"water","1066","11","45","1974","46"
"reopen","12131","917","137","46","22668"
"","","","","",""
"2020-04-29","covid","school","food","water","reopen"
"covid","503274","3698","4531","988","10539"
"school","3698","8831","67","15","1060"
"food","4531","67","7950","48","157"
"water","988","15","48","1929","40"
"reopen","10539","1060","157","40","21371"
"","","","","",""
"2020-04-30","covid","school","food","water","reopen"
"covid","517536","3745","4461","969","10797"
"school","3745","8601","63","14","931"
"food","4461","63","8248","64","162"
"water","969","14","64","2027","30"
"reopen","10797","931","162","30","21372"
"","","","","",""
"2020-05-01","covid","school","food","water","reopen"
"covid","494869","3376","4139","1243","11669"
"school","3376","8898","115","10","673"
"food","4139","115","7973","61","222"
"water","1243","10","61","2398","18"
"reopen","11669","673","222","18","22169"
"","","","","",""
"2020-05-02","covid","school","food","water","reopen"
"covid","417780","2549","2989","824","9058"
"school","2549","5846","42","7","538"
"food","2989","42","5543","45","140"
"water","824","7","45","1759","34"
"reopen","9058","538","140","34","16701"
"","","","","",""
"2020-05-03","covid","school","food","water","reopen"
"covid","412910","2660","2812","710","9734"
"school","2660","6216","42","5","739"
"food","2812","42","5296","57","90"
"water","710","5","57","1510","20"
"reopen","9734","739","90","20","17657"
"","","","","",""
"2020-05-04","covid","school","food","water","reopen"
"covid","485396","3159","3218","879","13060"
"school","3159","7704","41","5","727"
"food","3218","41","6012","59","138"
"water","879","5","59","1853","30"
"reopen","13060","727","138","30","24249"
"","","","","",""
"2020-05-05","covid","school","food","water","reopen"
"covid","484489","3196","3387","960","12855"
"school","3196","7485","43","12","721"
"food","3387","43","6551","58","104"
"water","960","12","58","2073","34"
"reopen","12855","721","104","34","23955"
"","","","","",""
"2020-05-06","covid","school","food","water","reopen"
"covid","491353","3160","3467","1002","13075"
"school","3160","7931","40","9","736"
"food","3467","40","6626","81","148"
"water","1002","9","81","2033","31"
"reopen","13075","736","148","31","23882"
"","","","","",""
"2020-05-07","covid","school","food","water","reopen"
"covid","489871","3103","3406","1086","12293"
"school","3103","7579","43","6","846"
"food","3406","43","6742","70","110"
"water","1086","6","70","2156","41"
"reopen","12293","846","110","41","22973"
"","","","","",""
"2020-05-08","covid","school","food","water","reopen"
"covid","477614","2750","3200","1031","11804"
"school","2750","6397","43","10","717"
"food","3200","43","6251","73","113"
"water","1031","10","73","1999","49"
"reopen","11804","717","113","49","22387"
"","","","","",""
"2020-05-09","covid","school","food","water","reopen"
"covid","397121","1799","2620","803","9116"
"school","1799","4657","27","1","513"
"food","2620","27","4926","71","64"
"water","803","1","71","1667","17"
"reopen","9116","513","64","17","17552"
"","","","","",""
"2020-05-10","covid","school","food","water","reopen"
"covid","349469","1964","1798","527","7415"
"school","1964","4950","24","10","520"
"food","1798","24","3426","39","39"
"water","527","10","39","1179","19"
"reopen","7415","520","39","19","15014"
"","","","","",""
"2020-05-11","covid","school","food","water","reopen"
"covid","467900","3402","2727","1482","14469"
"school","3402","7926","28","6","1004"
"food","2727","28","5181","75","74"
"water","1482","6","75","2505","38"
"reopen","14469","1004","74","38","25959"
"","","","","",""
"2020-05-12","covid","school","food","water","reopen"
"covid","465772","3386","2664","1486","12971"
"school","3386","8640","41","20","985"
"food","2664","41","5078","58","80"
"water","1486","20","58","2686","93"
"reopen","12971","985","80","93","25051"
"","","","","",""
"2020-05-13","covid","school","food","water","reopen"
"covid","469381","3943","3076","1228","12097"
"school","3943","10162","60","14","1356"
"food","3076","60","5742","69","95"
"water","1228","14","69","2362","69"
"reopen","12097","1356","95","69","23658"
"","","","","",""
"2020-05-14","covid","school","food","water","reopen"
"covid","481997","4581","3246","1024","12537"
"school","4581","11163","56","16","1770"
"food","3246","56","6397","60","143"
"water","1024","16","60","2169","47"
"reopen","12537","1770","143","47","24159"
"","","","","",""
"2020-05-15","covid","school","food","water","reopen"
